City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,281.55,91,97,19.78,TF,1683873675
1,albany,42.6001,-73.9662,286.99,78,80,1.34,US,1683873676
2,qaqortoq,60.7167,-46.0333,274.78,87,100,1.93,GL,1683873678
3,afaahiti,-17.75,-149.2833,297.08,93,100,11.14,PF,1683873693
4,jand,33.4299,72.0193,308.13,14,4,1.32,PK,1683873964
5,udachny,66.4167,112.4,276.4,89,100,7.32,RU,1683873680
6,ushuaia,-54.8,-68.3,280.96,76,100,7.72,AR,1683873687
7,greymouth,-42.4667,171.2,281.89,66,4,1.15,NZ,1683873791
8,keflavik,64.0049,-22.5624,280.1,93,100,1.54,IS,1683873674
9,gao,16.6362,1.637,304.21,31,15,6.35,ML,1683873965
10,ust-nera,64.5667,143.2,277.81,58,100,1.09,RU,1683873687
11,vilyuchinsk,52.9306,158.4028,279.3,89,100,0.83,RU,1683873693
12,lobau,51.1,14.6667,291.16,53,12,3.54,DE,1683873965
13,waitangi,-43.9535,-176.5597,284.56,60,62,12.94,NZ,1683873678
14,grytviken,-54.2811,-36.5092,269.16,71,9,2.61,GS,1683873674
15,bethel,41.3712,-73.414,288.08,77,0,2.06,US,1683873675
16,tiksi,71.6872,128.8694,264.01,79,47,6.84,RU,1683873674
17,hamilton,39.1834,-84.5333,293.7,90,0,0.0,US,1683873435
18,hede,33.7681,120.2517,297.6,36,8,1.93,CN,1683873965
19,kodiak,57.79,-152.4072,278.88,87,100,5.14,US,1683873698
20,novyy turtkul',41.55,61.0167,304.1,17,0,3.11,UZ,1683873966
21,west island,-12.1568,96.8225,304.14,74,40,5.66,CC,1683873680
22,ribeira grande,38.5167,-28.7,289.14,77,20,4.12,PT,1683873683
23,lebu,-37.6167,-73.65,286.14,89,100,1.32,CL,1683873688
24,sao joao da barra,-21.6403,-41.0511,294.34,86,100,2.85,BR,1683873858
25,gardony,47.2094,18.6361,285.21,97,100,6.9,HU,1683873966
26,benjamin hill,30.1667,-111.1,291.7,33,0,2.36,MX,1683873966
27,adamstown,-25.066,-130.1015,295.47,65,100,8.04,PN,1683873675
28,opuwo,-18.0607,13.84,296.12,28,84,3.21,NA,1683873725
29,iqaluit,63.7506,-68.5145,266.0,93,75,1.03,CA,1683873678
30,colonia,50.9333,6.95,287.02,88,75,3.09,DE,1683873400
31,ibiruba,-28.6275,-53.0897,280.89,88,16,1.78,BR,1683873966
32,margaret river,-33.95,115.0667,291.28,56,100,6.22,AU,1683873677
33,saint-leu,-21.15,55.2833,300.9,82,100,1.91,RE,1683873966
34,invercargill,-46.4,168.35,281.49,95,100,1.34,NZ,1683873679
35,ilulissat,69.2167,-51.1,270.16,86,100,4.12,GL,1683873681
36,ventura,34.4667,-119.0176,279.9,87,5,1.43,US,1683873827
37,turpan,42.9333,89.1667,308.51,6,17,1.34,CN,1683873967
38,boulsa,12.6675,-0.5758,304.79,43,99,7.41,BF,1683873967
39,laborde,-33.1532,-62.8566,284.85,71,0,3.2,AR,1683873967
40,hawaiian paradise park,19.5933,-154.9731,294.88,94,100,2.57,US,1683873677
41,utrik,11.2278,169.8474,300.47,83,92,7.25,MH,1683873685
42,cockburn town,21.4612,-71.1419,299.68,77,24,5.8,TC,1683873726
